site;management;DBH (cm);hollow;DBHclass
KANCI;unman;49;1;2
KANCI;unman;57;1;2
KANCI;unman;46;1;2
KANCI;unman;64;1;3
KANCI;unman;51;1;2
KANCI;unman;29;1;1
KANCI;unman;38;0;2
KANCI;unman;67;0;3
KANCI;unman;46;0;2
KANCI;unman;65;0;3
KANCI;unman;89;1;3
KANCI;unman;127;1;5
KANCI;unman;48;0;2
KANCI;unman;57;1;2
KANCI;unman;40;0;2
KANCI;unman;132;1;5
KANCI;unman;106;1;4
KANCI;unman;61;0;3
KANCI;unman;62;0;3
KANCI;unman;75;0;3
KANCI;unman;104;1;4
KANCI;unman;71;0;3
KANCI;unman;81;1;3
KANCI;unman;60;0;2
KANCI;unman;33;0;2
KANCI;unman;49;1;2
KANCI;unman;55;1;2
KANCI;unman;57;0;2
KANCI;unman;58;1;2
KANCI;unman;60;0;2
KANCI;unman;35;1;2
KANCI;unman;41;0;2
KANCI;unman;57;0;2
KANCI;unman;55;0;2
KANCI;unman;39;0;2
KANCI;unman;52;0;2
KANCI;unman;67;0;3
KANCI;unman;59;1;2
KANCI;unman;74;1;3
KANCI;unman;90;1;3
KANCI;unman;52;0;2
KANCI;unman;55;1;2
KANCI;unman;48;1;2
KANCI;unman;47;1;2
KANCI;unman;69;1;3
KANCI;unman;47;0;2
KANCI;unman;63;0;3
KANCI;unman;61;0;3
KANCI;unman;34;0;2
KANCI;unman;38;0;2
KANCI;unman;37;0;2
KANCI;unman;74;1;3
KANCI;unman;64;1;3
KANCI;unman;51;0;2
KANCI;unman;64;0;3
KANCI;unman;51;0;2
KANCI;unman;57;0;2
KANCI;unman;48;0;2
KANCI;unman;54;0;2
KANCI;unman;60;0;3
KANCI;unman;52;1;2
KANCI;unman;52;1;2
KANCI;unman;62;0;3
KANCI;unman;61;1;3
KANCI;unman;58;0;2
KANCI;unman;57;1;2
